ProductID,Name,Category,SubCategory,Price,Tags
94541,Pioneer® Light Brown Gravy Mix,Gravies,Gravy Mix,4.8,Light Brown
94293,Pioneer® Pork Gravy Mix,Gravies,Gravy Mix,4.7,Pork
94551,Pioneer® Roast Pork Gravy Mix,Gravies,Gravy Mix,4.75,Roast Pork
94579,Pioneer® Au Jus Gravy Mix,Gravies,Gravy Mix,2.45,Au Jus
99424,Conestoga™ Old Fashioned White Gravy Mix,Gravies,Gravy Mix,9.55,White
99412,Conestoga™ Peppered Biscuit Gravy Mix,Gravies,Gravy Mix,9.6,Peppered
99426,Conestoga™ Country Gravy Mix,Gravies,Gravy Mix,9.45,Country
99430,Conestoga™ Brown Gravy Mix,Gravies,Gravy Mix,5.5,Brown
238231,Michael’s™ Mudslide Cookie Dough,Desserts,Premium Cookie Dough,19.8,Mudslide
238233,Michael’s™ All Butter Dark & White Chip Cookie Dough,Desserts,Premium Cookie Dough,19.8,Dark & White Chip
238235,Michael’s™ All Butter Cranberry Oatmeal Raisin Cookie Dough,Desserts,Premium Cookie Dough,19.8,"Cranberry, Oatmeal Raisin"
238236,Michael’s™ All Butter Milk Chocolate Chunk Cookie Dough,Desserts,Premium Cookie Dough,19.8,Milk Chocolate Chunk
224996,CookieTree® Chocolate Brownie Thaw & Serve,Desserts,Baked Brownies,8.11,"Brownie, Thaw & Serve"
225072,CookieTree® Milk Chocolate Chunk Cookie Thaw & Serve,Desserts,Baked Cookies,6.61,Chocolate Chunk
225285,CookieTree® Milk Chocolate Chunk Cookie Thaw & Serve,Desserts,Baked Cookies,13.21,Chocolate Chunk
240383,CookieTree® Chocolate Chunk Extended Shelf-life,Desserts,Baked Cookies,13.21,Extended Shelf-life
225291,CookieTree® Cinnamon Sugar Cookie Thaw & Serve,Desserts,Baked Cookies,13.21,Cinnamon Sugar
225008,CookieTree® Milk Chocolate Chunk Cookie Thaw & Serve,Desserts,Baked Cookies,9.69,Chocolate Chunk
225074,CookieTree® Milk Chocolate Chunk Cookie Thaw & Serve,Desserts,Baked Cookies,6.44,Chocolate Chunk
225076,CookieTree® Dark Chocolate Chunk Cookie Thaw & Serve,Desserts,Baked Cookies,6.44,Dark Chocolate
225081,CookieTree® Oatmeal Raisin Cookie Thaw & Serve,Desserts,Baked Cookies,6.44,Oatmeal Raisin
225087,CookieTree® Sugar Cookie Thaw & Serve,Desserts,Baked Cookies,6.44,Sugar Cookie
225090,CookieTree® Milk Chocolate Toffee Cookie,Desserts,Baked Cookies,6.44,Toffee
225096,CookieTree® Triple Chunk Cookie Thaw & Serve,Desserts,Baked Cookies,6.44,Triple Chunk
225144,CookieTree® Whole Grain Sugar Cookie,Desserts,Whole Grain Cookie,24.68,"Whole Grain, Sugar"
225145,CookieTree® Whole Grain Chocolate Chip Cookie,Desserts,Whole Grain Cookie,24.68,"Whole Grain, Chocolate Chip"
225218,CookieTree® Whole Grain Chocolate Chip Cookie,Desserts,Whole Grain Cookie,22,"Whole Grain, Chocolate Chip"
225216,CookieTree® Whole Grain Candy Chip Cookie,Desserts,Whole Grain Cookie,22,"Whole Grain, Candy Chip"
225225,CookieTree® Whole Grain Chocolate Chip Cookie,Desserts,Whole Grain Cookie,23.55,"Whole Grain, Chocolate Chip"
225223,CookieTree® Whole Grain Double Fudge Cookie,Desserts,Whole Grain Cookie,23.55,"Whole Grain, Double Fudge"
236009,Michael’s™ Chocolate Chip Cookie Dough,Desserts,Cookie Dough,17.3,Chocolate Chip
236012,Michael’s™ Chunky Chocolate Cookie Dough,Desserts,Cookie Dough,17.3,Chunky Chocolate
236023,Michael’s™ Oatmeal Raisin Cookie Dough,Desserts,Cookie Dough,17.3,Oatmeal Raisin
236017,Michael’s™ Vanilla Sugar Cookie Dough,Desserts,Cookie Dough,17.3,Vanilla Sugar
236016,Michael’s™ White Chip Macadamia Cookie Dough,Desserts,Cookie Dough,17.3,Macadamia
238237,Michael’s™ Candy Cookie Dough,Desserts,Cookie Dough,17.3,Candy
238240,Michael’s™ Peanut Butter Cookie Dough,Desserts,Cookie Dough,17.3,Peanut Butter
236035,Michael’s™ Chocolate Chip Cookie Dough,Desserts,Cookie Dough,22.3,Chocolate Chip
236037,Michael’s™ Oatmeal Raisin Walnut Cookie Dough,Desserts,Cookie Dough,22.3,Oatmeal Raisin Walnut
236043,Michael’s™ Vanilla Sugar Cookie Dough,Desserts,Cookie Dough,22.3,Vanilla Sugar
236042,Michael’s™ Cappuccino Chocolate Chunk Cookie Dough,Desserts,Cookie Dough,22.3,Cappuccino Chunk
236041,Michael’s™ White Chip Macadamia Cookie Dough,Desserts,Cookie Dough,22.3,Macadamia
238238,Michael’s™ Candy Cookie Dough,Desserts,Cookie Dough,22.3,Candy
238241,Michael’s™ Peanut Butter Cookie Dough,Desserts,Cookie Dough,22.3,Peanut Butter
236062,Michael’s™ Chocolate Chip Cookie Dough,Desserts,Cookie Dough,20.05,Chocolate Chip
236065,Michael’s™ Chunky Chocolate Cookie Dough,Desserts,Cookie Dough,20.05,Chunky Chocolate
236077,Michael’s™ Oatmeal Raisin Cookie Dough,Desserts,Cookie Dough,20.05,Oatmeal Raisin
236069,Michael’s™ Vanilla Sugar Cookie Dough,Desserts,Cookie Dough,20.05,Vanilla Sugar
236067,Michael’s™ White Chip Macadamia Cookie Dough,Desserts,Cookie Dough,20.05,Macadamia
238239,Michael’s™ Candy Cookie Dough,Desserts,Cookie Dough,20.05,Candy
238242,Michael’s™ Peanut Butter Cookie Dough,Desserts,Cookie Dough,20.05,Peanut Butter
94418,Pioneer® Chocolate Brownie Mix,Desserts,Dessert Mix,37.5,Brownie Mix
94420,Pioneer® French Doughnut and Sopaipilla Mix,Desserts,Dessert Mix,25.5,"Doughnut, Sopaipilla"
768,Morrison’s® Sopapilla Mix,Desserts,Dessert Mix,25.5,Sopaipilla
225065,CookieTree® Whole Grain Double Fudge Cookie,Desserts,Whole Grain Cookie,10.66,"Whole Grain, Double Fudge"
225067,CookieTree® Whole Grain Candy Chip Cookie,Desserts,Whole Grain Cookie,10.66,"Whole Grain, Candy Chip"
225068,CookieTree® Whole Grain Sugar Cookie,Desserts,Whole Grain Cookie,10.66,"Whole Grain, Sugar"
225070,CookieTree® Whole Grain Chocolate Chip Cookie,Desserts,Whole Grain Cookie,10.66,"Whole Grain, Chocolate Chip"
226006,CookieTree® Whole Grain Celebration Bar,Desserts,Dessert Bar,11.34,Celebration Bar
224989,CookieTree® Whole Grain Brownie,Desserts,Dessert Bar,11.59,Brownie
94218,Pioneer® Cornbread Mix,Baking Mixes,Cornbread Mix,31.5,Cornbread
213513,Pioneer® Deluxe Cornbread Mix,Baking Mixes,Cornbread Mix,31.5,Deluxe
